,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
A1BG,1.0,9913.0,0.00013814708707894649,-3.8596582680321387,8728.0,0.441209180063,0.441209180063
A1CF,1.0,9913.0,0.00032768453318375563,-3.4845440569742641,4951.0,0.250278030533,0.250278030533
A2M,1.0,9913.0,0.0022474010674567342,-2.6483194171935343,312.0,0.0157719138611,0.0157719138611
A2ML1,1.0,9913.0,4.4091259139649106e-05,-4.3556474985972811,13573.0,0.686128803963,0.686128803963
A3GALT2,1.0,9913.0,2.7045881156667333e-07,-6.5678988646473426,19726.5,0.997194419169,0.997194419169
A4GALT,1.0,9913.0,6.8013623807873115e-05,-4.1674040850591938,11886.0,0.6008492569,0.6008492569
A4GNT,1.0,9913.0,0.00010454016377742267,-3.9807168238520503,10078.0,0.509453038115,0.509453038115
AAAS,1.0,9913.0,0.00018102565725670714,-3.7422598670351173,7504.0,0.379334748762,0.379334748762
AACS,1.0,9913.0,0.0011216927492930923,-2.9501260874294766,1304.0,0.0659185117784,0.0659185117784
AADAC,1.0,9913.0,0.00023929587959231727,-3.6210647793879254,6243.0,0.31558993024,0.31558993024
AADACL2,1.0,9913.0,3.0025858424632065e-05,-4.5225045674803743,14742.0,0.745222929936,0.745222929936
AADACL3,1.0,9913.0,8.7655575190328506e-06,-5.0572204560973626,17423.0,0.880750176929,0.880750176929
AADACL4,1.0,9913.0,1.0960562180411539e-05,-4.9601671697942553,16949.0,0.856789000101,0.856789000101
AADAT,1.0,9913.0,9.9203395840286376e-05,-4.0034734612182445,10339.0,0.522646850672,0.522646850672
AAED1,1.0,9913.0,3.5239551457205517e-06,-5.4529696280948441,18366.0,0.928419775554,0.928419775554
AAGAB,1.0,9913.0,2.251504733109852e-05,-4.6475271357268841,15446.0,0.780810838136,0.780810838136
AAK1,1.0,9913.0,0.00090367411736664226,-3.0439881564111655,1807.0,0.0913456677788,0.0913456677788
AAMDC,1.0,9913.0,2.1119521512047162e-05,-4.6753159254863119,15621.0,0.78965726418,0.78965726418
AAMP,1.0,9913.0,0.00028426456488434373,-3.5462772740919477,5484.0,0.277221716712,0.277221716712
AANAT,1.0,9913.0,0.0010363360135591689,-2.9844994094801516,1466.0,0.0741077747447,0.0741077747447
AAR2,1.0,9913.0,7.7427847654542832e-05,-4.1111028131211675,11400.0,0.576281468001,0.576281468001
AARD,1.0,9913.0,3.9287655888132385e-06,-5.4057438827488751,18280.0,0.924072389041,0.924072389041
AARS,1.0,9913.0,0.00046034878120598414,-3.3369130023250655,3859.0,0.195076332019,0.195076332019
AARS2,1.0,9913.0,0.0001061235554349326,-3.9741882083702045,10005.0,0.50576281468,0.50576281468
AARSD1,1.0,9913.0,9.7657523359381146e-05,-4.0102942938240957,10411.0,0.526286523102,0.526286523102
AASDH,1.0,9913.0,6.8766078292462261e-05,-4.1626257426277045,11844.0,0.59872611465,0.59872611465
AASDHPPT,1.0,9913.0,0.00070166281831915292,-3.1538715364776753,2663.0,0.134617328885,0.134617328885
AASS,1.0,9913.0,0.00010668285179485006,-3.9719053834751028,9987.0,0.504852896573,0.504852896573
AATF,1.0,9913.0,0.00016691662226652707,-3.7775004122771931,7866.0,0.397634212921,0.397634212921
AATK,1.0,9913.0,3.0145086722190325e-05,-4.5207834624068708,14732.0,0.744717419877,0.744717419877
ABAT,1.0,9913.0,0.001189199208919553,-2.9247453883688719,1174.0,0.0593468810029,0.0593468810029
ABCA1,1.0,9913.0,0.0014534600745230368,-2.8375968934790237,795.0,0.0401880497422,0.0401880497422
ABCA10,1.0,9913.0,3.4756787323402821e-05,-4.4589603735409726,14323.0,0.724042058437,0.724042058437
ABCA12,1.0,9913.0,0.00011055000909156937,-3.9564412173691368,9848.0,0.497826306744,0.497826306744
ABCA13,1.0,9913.0,3.7800094302216383e-05,-4.4225071167003112,14054.0,0.710443837832,0.710443837832
ABCA2,1.0,9913.0,0.00019164410897358508,-3.7175045261596256,7254.0,0.36669699727,0.36669699727
ABCA3,1.0,9913.0,0.00010356940066377432,-3.9847685369247579,10113.0,0.511222323324,0.511222323324
ABCA4,1.0,9913.0,0.00021259815004724705,-3.6724405188708968,6779.0,0.342685269437,0.342685269437
ABCA5,1.0,9913.0,0.0001455291745533642,-3.8370499339809814,8467.0,0.428015367506,0.428015367506
ABCA6,1.0,9913.0,0.00014488841237178388,-3.838966346373029,8490.0,0.429178040643,0.429178040643
ABCA7,1.0,9913.0,0.0001153898901710533,-3.9378322400127046,9635.0,0.487058942473,0.487058942473
ABCA8,1.0,9913.0,0.00024602908044475631,-3.609013556594741,6129.0,0.30982711556,0.30982711556
ABCA9,1.0,9913.0,3.388728577795065e-05,-4.4699632148411297,14406.0,0.728237791932,0.728237791932
ABCB1,1.0,9913.0,0.00043909038986158144,-3.3574460679645219,3982.0,0.201294105753,0.201294105753
ABCB10,1.0,9913.0,0.0015059581345445881,-2.8221871013019806,749.0,0.0378627034678,0.0378627034678
ABCB11,1.0,9913.0,9.8840438566536991e-05,-4.005065336250488,10355.0,0.523455666768,0.523455666768
ABCB4,1.0,9913.0,0.00015179654633461876,-3.8187381093686028,8273.0,0.418208472349,0.418208472349
ABCB5,1.0,9913.0,5.5946056711377926e-05,-4.2522305187663934,12680.0,0.640986755636,0.640986755636
ABCB6,1.0,9913.0,0.00010181502250479321,-3.9921881384079057,10200.0,0.515620260843,0.515620260843
ABCB7,1.0,9913.0,0.00016814117207985299,-3.7743259295247893,7839.0,0.39626933576,0.39626933576
ABCB8,1.0,9913.0,0.00010287953820262464,-3.9876709938415287,10135.0,0.512334445455,0.512334445455
ABCB9,1.0,9913.0,0.00010062706735460445,-3.9972851840752668,10263.0,0.518804974219,0.518804974219
ABCC1,1.0,9913.0,0.00062113704013747951,-3.20681257178863,3044.0,0.153877262158,0.153877262158
ABCC10,1.0,9913.0,0.00010115534953046307,-3.9950111449235521,10230.0,0.517136791022,0.517136791022
ABCC11,1.0,9913.0,3.8427322044038501e-05,-4.4153598799650222,14005.0,0.70796683854,0.70796683854
ABCC12,1.0,9913.0,4.5304420409107929e-05,-4.343859421262585,13471.0,0.680972601355,0.680972601355
ABCC2,1.0,9913.0,0.0025363957079388645,-2.5957829903928369,259.0,0.0130927105449,0.0130927105449
ABCC3,1.0,9913.0,0.00028375636736609319,-3.5470543843153597,5493.0,0.277676675766,0.277676675766
ABCC4,1.0,9913.0,0.00014516270777201504,-3.8381449393453,8484.0,0.428874734607,0.428874734607
ABCC5,1.0,9913.0,0.00023093577872137074,-3.6365087769246855,6402.0,0.323627540188,0.323627540188
