ACTN2,8.91e-05
ARV1,6.3e-05
ASCL2,5.87e-05
BACE1,3.72e-05
BARD1,2.36e-05
CAPSL,1.57e-05
CCR3,2.35e-05
CD53,6.54e-05
CHN2,8.61e-05
CLEC2D,1.84e-05
CTLA4,4.35e-05
DCAL1,7.24e-07
DCHS1,9.96e-05
DEXI,9.24e-08
DUSP10,7.53e-05
ENAH,8.46e-06
ERBB3,1.14e-11
FLJ13089,2.17e-15
FLJ32310,8.83e-05
FLJ45273,3.19e-05
GCS1,6.93e-05
HLA-DQA1,2.42e-134
HMGCS2,5.51e-05
HSPA4,5.2e-06
IL2,5e-07
IL2RA,7.97e-06
IL2RB,6.79e-05
ITGB1,2.13e-05
KCNMB2,1.96e-05
LBR,6.57e-05
LOC400451,8.33e-05
LYZ,7.63e-05
MCM8,2.34e-05
MKI67,5.31e-05
NEK6,4.93e-05
NUP35,5.85e-05
PGM1,1.23e-05
PHTF1,1.17e-26
POLR2B,8.24e-05
PPFIBP2,8.52e-05
PPP1R15B,1.27e-05
PQLC2,5.71e-05
PTD004,4.19e-05
PTPN2,1.89e-06
RAB5B,6.53e-05
RARS,9.63e-05
RASA1,8.23e-06
SCGN,2.63e-05
SETBP1,5.14e-05
SGCG,8.17e-05
SLC7A1,7.57e-05
SMARCE1,2.2e-05
SOCS1,8.19e-09
SPG7,9.38e-05
SRD5A1,5.45e-05
TAF5L,7.47e-05
TNFRSF19,6.58e-05
TPMT,8.75e-05
TSEN2,4.97e-05
WISP1,3.84e-05
WNT5A,1.08e-05
ZFP36L2,7.96e-05
